time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,3.6,dur,4,4,0,0,2000,240,1.6,192,108
3.6,3.6,dur,4,8,9,75,2000,240,1.6,192,1
7.2,3.6,dur,4,12,90,750,2000,240,1.6,192,19
10.8,4.5,dur,5,17,21,175,2000,240,2.5,300,81
15.3,3.6,dur,4,21,21,175,2000,240,1.6,192,27
18.9,4.5,dur,5,26,12,100,2000,240,2.5,300,99
23.4,3.6,dur,4,30,9,75,2000,240,1.6,192,110
27.0,3.6,dur,4,34,9,75,2000,240,1.6,192,57
30.6,7.2,dur,8,42,63,525,2000,240,5.2,624,120
37.8,3.6,dur,4,46,15,125,2000,240,1.6,192,93
41.4,3.6,dur,4,50,9,75,2000,240,1.6,192,136
45.0,3.6,dur,4,54,21,175,2000,240,1.6,192,155
48.6,3.6,dur,4,58,15,125,2000,240,1.6,192,56
52.2,5.4,dur,6,64,90,750,2000,240,3.4000000000000004,408,159
57.6,3.6,dur,4,68,30,250,2000,240,1.6,192,51
61.2,3.6,dur,4,72,12,100,2000,240,1.6,192,22
64.8,3.6,dur,4,76,6,50,2000,240,1.6,192,129
68.4,3.6,dur,4,80,30,250,2000,240,1.6,192,68
72.0,3.6,dur,4,84,90,750,2000,240,1.6,192,145
75.6,4.5,dur,5,89,0,0,2000,240,2.5,300,39
80.1,5.4,dur,6,95,12,100,2000,240,3.4000000000000004,408,9
85.5,3.6,dur,4,99,6,50,2000,240,1.6,192,149
89.1,3.6,dur,4,103,0,0,2000,240,1.6,192,66
92.7,3.6,dur,4,107,30,250,2000,240,1.6,192,78
96.3,3.6,dur,4,111,63,525,2000,240,1.6,192,91
99.9,3.6,dur,4,115,12,100,2000,240,1.6,192,43
103.5,3.6,dur,4,119,12,100,2000,240,1.6,192,20
107.1,3.6,dur,4,123,0,0,2000,240,1.6,192,123
110.7,3.6,dur,4,127,3,25,2000,240,1.6,192,140
114.3,3.6,dur,4,131,9,75,2000,240,1.6,192,85
117.9,4.5,dur,5,136,30,250,2000,240,2.5,300,132
122.4,3.6,dur,4,140,0,0,2000,240,1.6,192,44
126.0,4.5,dur,5,145,3,25,2000,240,2.5,300,62
130.5,3.6,dur,4,149,63,525,2000,240,1.6,192,72
134.1,5.4,dur,6,155,0,0,2000,240,3.4000000000000004,408,52
139.5,3.6,dur,4,159,12,100,2000,240,1.6,192,96
143.1,4.5,dur,5,164,90,750,2000,240,2.5,300,12
147.6,3.6,dur,4,168,12,100,2000,240,1.6,192,137
151.2,3.6,dur,4,172,3,25,2000,240,1.6,192,13
154.8,3.6,dur,4,176,21,175,2000,240,1.6,192,55
158.4,4.5,dur,5,181,0,0,2000,240,2.5,300,95
162.9,3.6,dur,4,185,3,25,2000,240,1.6,192,119
166.5,4.5,dur,5,190,6,50,2000,240,2.5,300,92
171.0,4.5,dur,5,195,15,125,2000,240,2.5,300,42
175.5,3.6,dur,4,199,0,0,2000,240,1.6,192,146
179.1,3.6,dur,4,203,42,350,2000,240,1.6,192,75
182.7,3.6,dur,4,207,42,350,2000,240,1.6,192,131
186.3,3.6,dur,4,211,6,50,2000,240,1.6,192,50
189.9,5.4,dur,6,217,63,525,2000,240,3.4000000000000004,408,125
195.3,3.6,dur,4,221,63,525,2000,240,1.6,192,156
198.9,4.5,dur,5,226,42,350,2000,240,2.5,300,17
203.4,3.6,dur,4,230,30,250,2000,240,1.6,192,105
207.0,4.5,dur,5,235,21,175,2000,240,2.5,300,11
211.5,4.5,dur,5,240,9,75,2000,240,2.5,300,88
216.0,3.6,dur,4,244,21,175,2000,240,1.6,192,133
219.6,3.6,dur,4,248,6,50,2000,240,1.6,192,29
223.2,3.6,dur,4,252,6,50,2000,240,1.6,192,8
226.8,3.6,dur,4,256,3,25,2000,240,1.6,192,14
230.4,3.6,dur,4,260,3,25,2000,240,1.6,192,80
234.0,6.3,dur,7,267,15,125,2000,240,4.3,516,100
240.3,3.6,dur,4,271,90,750,2000,240,1.6,192,94
243.9,3.6,dur,4,275,63,525,2000,240,1.6,192,107
247.5,3.6,dur,4,279,6,50,2000,240,1.6,192,61
251.1,3.6,dur,4,283,42,350,2000,240,1.6,192,127
254.7,3.6,dur,4,287,0,0,2000,240,1.6,192,90
258.3,3.6,dur,4,291,42,350,2000,240,1.6,192,49
261.9,3.6,dur,4,295,0,0,2000,240,1.6,192,118
265.5,5.4,dur,6,301,30,250,2000,240,3.4000000000000004,408,10
270.9,3.6,dur,4,305,0,0,2000,240,1.6,192,38
274.5,4.5,dur,5,310,15,125,2000,240,2.5,300,69
279.0,3.6,dur,4,314,42,350,2000,240,1.6,192,40
282.6,3.6,dur,4,318,30,250,2000,240,1.6,192,26
286.2,4.5,dur,5,323,3,25,2000,240,2.5,300,89
290.7,3.6,dur,4,327,42,350,2000,240,1.6,192,70
294.3,3.6,dur,4,331,63,525,2000,240,1.6,192,86
297.9,3.6,dur,4,335,15,125,2000,240,1.6,192,5
301.5,4.5,dur,5,340,21,175,2000,240,2.5,300,18
306.0,3.6,dur,4,344,90,750,2000,240,1.6,192,103
309.6,3.6,dur,4,348,9,75,2000,240,1.6,192,59
313.2,3.6,dur,4,352,15,125,2000,240,1.6,192,151
316.8,3.6,dur,4,356,90,750,2000,240,1.6,192,139
320.4,3.6,dur,4,360,0,0,2000,240,1.6,192,153
