time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,6,50,2000,240,2.5,300,146
4.5,3.6,dur,4,9,9,75,2000,240,1.6,192,50
8.1,3.6,dur,4,13,6,50,2000,240,1.6,192,68
11.7,3.6,dur,4,17,15,125,2000,240,1.6,192,124
15.3,3.6,dur,4,21,3,25,2000,240,1.6,192,5
18.9,6.3,dur,7,28,12,100,2000,240,4.3,516,52
25.2,3.6,dur,4,32,12,100,2000,240,1.6,192,128
28.8,3.6,dur,4,36,12,100,2000,240,1.6,192,119
32.4,3.6,dur,4,40,42,350,2000,240,1.6,192,27
36.0,3.6,dur,4,44,90,750,2000,240,1.6,192,10
39.6,3.6,dur,4,48,42,350,2000,240,1.6,192,1
43.2,3.6,dur,4,52,15,125,2000,240,1.6,192,72
46.8,3.6,dur,4,56,90,750,2000,240,1.6,192,98
50.4,3.6,dur,4,60,6,50,2000,240,1.6,192,116
54.0,3.6,dur,4,64,12,100,2000,240,1.6,192,2
57.6,4.5,dur,5,69,15,125,2000,240,2.5,300,104
62.1,3.6,dur,4,73,30,250,2000,240,1.6,192,118
65.7,3.6,dur,4,77,12,100,2000,240,1.6,192,74
69.3,4.5,dur,5,82,6,50,2000,240,2.5,300,47
73.8,3.6,dur,4,86,42,350,2000,240,1.6,192,24
77.4,3.6,dur,4,90,0,0,2000,240,1.6,192,6
81.0,3.6,dur,4,94,6,50,2000,240,1.6,192,130
84.6,3.6,dur,4,98,3,25,2000,240,1.6,192,129
88.2,3.6,dur,4,102,63,525,2000,240,1.6,192,127
91.8,4.5,dur,5,107,0,0,2000,240,2.5,300,84
96.3,3.6,dur,4,111,0,0,2000,240,1.6,192,80
99.9,3.6,dur,4,115,63,525,2000,240,1.6,192,110
103.5,3.6,dur,4,119,21,175,2000,240,1.6,192,149
107.1,3.6,dur,4,123,21,175,2000,240,1.6,192,126
110.7,3.6,dur,4,127,15,125,2000,240,1.6,192,114
114.3,3.6,dur,4,131,21,175,2000,240,1.6,192,86
117.9,3.6,dur,4,135,9,75,2000,240,1.6,192,26
121.5,4.5,dur,5,140,3,25,2000,240,2.5,300,21
126.0,3.6,dur,4,144,42,350,2000,240,1.6,192,123
129.6,3.6,dur,4,148,30,250,2000,240,1.6,192,152
133.2,4.5,dur,5,153,15,125,2000,240,2.5,300,95
137.7,5.4,dur,6,159,63,525,2000,240,3.4000000000000004,408,136
143.1,3.6,dur,4,163,90,750,2000,240,1.6,192,35
146.7,6.3,dur,7,170,0,0,2000,240,4.3,516,59
153.0,3.6,dur,4,174,63,525,2000,240,1.6,192,144
156.6,4.5,dur,5,179,3,25,2000,240,2.5,300,8
161.1,3.6,dur,4,183,15,125,2000,240,1.6,192,89
164.7,3.6,dur,4,187,0,0,2000,240,1.6,192,92
168.3,3.6,dur,4,191,90,750,2000,240,1.6,192,156
171.9,3.6,dur,4,195,30,250,2000,240,1.6,192,112
175.5,6.3,dur,7,202,30,250,2000,240,4.3,516,79
181.8,3.6,dur,4,206,0,0,2000,240,1.6,192,148
185.4,4.5,dur,5,211,42,350,2000,240,2.5,300,94
189.9,4.5,dur,5,216,0,0,2000,240,2.5,300,97
194.4,3.6,dur,4,220,12,100,2000,240,1.6,192,14
198.0,3.6,dur,4,224,63,525,2000,240,1.6,192,16
201.6,4.5,dur,5,229,42,350,2000,240,2.5,300,34
206.1,3.6,dur,4,233,9,75,2000,240,1.6,192,85
209.7,3.6,dur,4,237,90,750,2000,240,1.6,192,91
213.3,3.6,dur,4,241,0,0,2000,240,1.6,192,9
216.9,3.6,dur,4,245,9,75,2000,240,1.6,192,13
220.5,4.5,dur,5,250,63,525,2000,240,2.5,300,105
225.0,3.6,dur,4,254,21,175,2000,240,1.6,192,22
228.6,3.6,dur,4,258,30,250,2000,240,1.6,192,63
232.2,3.6,dur,4,262,6,50,2000,240,1.6,192,31
235.8,4.5,dur,5,267,0,0,2000,240,2.5,300,100
240.3,3.6,dur,4,271,15,125,2000,240,1.6,192,4
243.9,3.6,dur,4,275,6,50,2000,240,1.6,192,36
247.5,3.6,dur,4,279,63,525,2000,240,1.6,192,139
251.1,3.6,dur,4,283,0,0,2000,240,1.6,192,132
254.7,3.6,dur,4,287,21,175,2000,240,1.6,192,145
258.3,3.6,dur,4,291,0,0,2000,240,1.6,192,55
261.9,6.3,dur,7,298,0,0,2000,240,4.3,516,101
268.2,3.6,dur,4,302,9,75,2000,240,1.6,192,76
271.8,3.6,dur,4,306,9,75,2000,240,1.6,192,25
275.4,3.6,dur,4,310,21,175,2000,240,1.6,192,19
279.0,3.6,dur,4,314,3,25,2000,240,1.6,192,77
282.6,4.5,dur,5,319,9,75,2000,240,2.5,300,83
287.1,3.6,dur,4,323,30,250,2000,240,1.6,192,109
290.7,7.2,dur,8,331,90,750,2000,240,5.2,624,115
297.9,3.6,dur,4,335,90,750,2000,240,1.6,192,88
301.5,3.6,dur,4,339,21,175,2000,240,1.6,192,103
305.1,3.6,dur,4,343,12,100,2000,240,1.6,192,81
308.7,3.6,dur,4,347,3,25,2000,240,1.6,192,12
312.3,3.6,dur,4,351,3,25,2000,240,1.6,192,54
315.9,4.5,dur,5,356,42,350,2000,240,2.5,300,113
320.4,3.6,dur,4,360,30,250,2000,240,1.6,192,62
