time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,3.6,dur,4,4,9,75,2000,240,1.6,192,7
3.6,3.6,dur,4,8,63,525,2000,240,1.6,192,148
7.2,7.2,dur,8,16,0,0,2000,240,5.2,624,87
14.4,3.6,dur,4,20,90,750,2000,240,1.6,192,26
18.0,3.6,dur,4,24,12,100,2000,240,1.6,192,124
21.6,3.6,dur,4,28,9,75,2000,240,1.6,192,140
25.2,3.6,dur,4,32,9,75,2000,240,1.6,192,86
28.8,7.2,dur,8,40,30,250,2000,240,5.2,624,98
36.0,3.6,dur,4,44,15,125,2000,240,1.6,192,104
39.6,3.6,dur,4,48,0,0,2000,240,1.6,192,154
43.2,3.6,dur,4,52,6,50,2000,240,1.6,192,116
46.8,3.6,dur,4,56,42,350,2000,240,1.6,192,133
50.4,3.6,dur,4,60,42,350,2000,240,1.6,192,131
54.0,4.5,dur,5,65,15,125,2000,240,2.5,300,97
58.5,4.5,dur,5,70,9,75,2000,240,2.5,300,12
63.0,6.3,dur,7,77,63,525,2000,240,4.3,516,146
69.3,3.6,dur,4,81,30,250,2000,240,1.6,192,9
72.9,3.6,dur,4,85,42,350,2000,240,1.6,192,117
76.5,3.6,dur,4,89,0,0,2000,240,1.6,192,70
80.1,3.6,dur,4,93,9,75,2000,240,1.6,192,73
83.7,3.6,dur,4,97,0,0,2000,240,1.6,192,25
87.3,4.5,dur,5,102,90,750,2000,240,2.5,300,14
91.8,5.4,dur,6,108,90,750,2000,240,3.4000000000000004,408,121
97.2,4.5,dur,5,113,30,250,2000,240,2.5,300,76
101.7,3.6,dur,4,117,63,525,2000,240,1.6,192,157
105.3,3.6,dur,4,121,15,125,2000,240,1.6,192,4
108.9,4.5,dur,5,126,15,125,2000,240,2.5,300,72
113.4,3.6,dur,4,130,21,175,2000,240,1.6,192,43
117.0,3.6,dur,4,134,6,50,2000,240,1.6,192,38
120.6,3.6,dur,4,138,0,0,2000,240,1.6,192,100
124.2,3.6,dur,4,142,0,0,2000,240,1.6,192,149
127.8,3.6,dur,4,146,30,250,2000,240,1.6,192,64
131.4,3.6,dur,4,150,12,100,2000,240,1.6,192,103
135.0,5.4,dur,6,156,12,100,2000,240,3.4000000000000004,408,6
140.4,3.6,dur,4,160,63,525,2000,240,1.6,192,5
144.0,3.6,dur,4,164,21,175,2000,240,1.6,192,129
147.6,3.6,dur,4,168,21,175,2000,240,1.6,192,2
151.2,3.6,dur,4,172,90,750,2000,240,1.6,192,109
154.8,3.6,dur,4,176,6,50,2000,240,1.6,192,28
158.4,3.6,dur,4,180,3,25,2000,240,1.6,192,55
162.0,3.6,dur,4,184,90,750,2000,240,1.6,192,81
165.6,4.5,dur,5,189,0,0,2000,240,2.5,300,123
170.1,3.6,dur,4,193,6,50,2000,240,1.6,192,33
173.7,3.6,dur,4,197,30,250,2000,240,1.6,192,114
177.3,3.6,dur,4,201,6,50,2000,240,1.6,192,24
180.9,5.4,dur,6,207,9,75,2000,240,3.4000000000000004,408,79
186.3,3.6,dur,4,211,3,25,2000,240,1.6,192,8
189.9,3.6,dur,4,215,15,125,2000,240,1.6,192,136
193.5,7.2,dur,8,223,15,125,2000,240,5.2,624,89
200.7,3.6,dur,4,227,12,100,2000,240,1.6,192,128
204.3,3.6,dur,4,231,90,750,2000,240,1.6,192,3
207.9,3.6,dur,4,235,90,750,2000,240,1.6,192,91
211.5,4.5,dur,5,240,0,0,2000,240,2.5,300,106
216.0,3.6,dur,4,244,21,175,2000,240,1.6,192,95
219.6,3.6,dur,4,248,21,175,2000,240,1.6,192,11
223.2,3.6,dur,4,252,42,350,2000,240,1.6,192,58
226.8,3.6,dur,4,256,6,50,2000,240,1.6,192,21
230.4,3.6,dur,4,260,6,50,2000,240,1.6,192,68
234.0,3.6,dur,4,264,63,525,2000,240,1.6,192,135
237.6,3.6,dur,4,268,3,25,2000,240,1.6,192,101
241.2,3.6,dur,4,272,42,350,2000,240,1.6,192,17
244.8,3.6,dur,4,276,3,25,2000,240,1.6,192,130
248.4,3.6,dur,4,280,63,525,2000,240,1.6,192,137
252.0,3.6,dur,4,284,15,125,2000,240,1.6,192,83
255.6,3.6,dur,4,288,42,350,2000,240,1.6,192,49
259.2,4.5,dur,5,293,9,75,2000,240,2.5,300,71
263.7,3.6,dur,4,297,12,100,2000,240,1.6,192,108
267.3,3.6,dur,4,301,0,0,2000,240,1.6,192,27
270.9,3.6,dur,4,305,3,25,2000,240,1.6,192,0
274.5,3.6,dur,4,309,30,250,2000,240,1.6,192,92
278.1,3.6,dur,4,313,21,175,2000,240,1.6,192,152
281.7,3.6,dur,4,317,3,25,2000,240,1.6,192,134
285.3,3.6,dur,4,321,63,525,2000,240,1.6,192,13
288.9,4.5,dur,5,326,42,350,2000,240,2.5,300,62
293.4,3.6,dur,4,330,12,100,2000,240,1.6,192,138
297.0,3.6,dur,4,334,12,100,2000,240,1.6,192,99
300.6,3.6,dur,4,338,0,0,2000,240,1.6,192,35
304.2,4.5,dur,5,343,21,175,2000,240,2.5,300,126
308.7,3.6,dur,4,347,0,0,2000,240,1.6,192,84
312.3,4.5,dur,5,352,30,250,2000,240,2.5,300,60
316.8,3.6,dur,4,356,3,25,2000,240,1.6,192,39
320.4,3.6,dur,4,360,0,0,2000,240,1.6,192,147
